"rule_id","rule_name","pattern_it_recognizes"
"rule_71c0b3b7241cc245","opt_outs_ml.regex_rules.095.thanks","/^thanks so much$/giu"
"rule_25bed44ed111bce6","opt_outs_ml.regex_rules.066.thanks","/^thanks$/giu"
"rule_6677dac08705e6d9","opt_outs_ml.regex_rules.065.thanks","/^thx$/giu"
"rule_20dd26ff5b5f8776","less_texts","/(?:send\s+)?less\s+(?:texts|text\s+messages|messages|msgs)/gi"
"rule_20f538f2564683bc","lower_frequency","/\blower (?:the )?frequency\b/gi"
"rule_51780d5c0ddb195c","message_less","/\bsend (?:me )?(?:texts?|text messages?|messages?|msgs?) less\b/gi"
"rule_combined_txt_origin_question","combined.txt_origin_question","/\bhow did (?:you|u) get my (?:number|phone number|contact)\b|\bwhere did (?:you|u) get my (?:number|phone number|contact)\b|\bwho gave (?:you|u) my (?:number|phone number|contact)\b|\bwhy (?:am i|do i) (?:getting|get|receive|receiving) (?:these )?(?:texts?|text messages?|messages?|msgs?)\b|\bwhy (?:are|r) (?:you|u) (?:texting|messaging|msging|contacting) me\b|\bwhy (?:are|r) (?:you|u) sending (?:me )?(?:texts?|text messages?|messages?|msgs?)\b|\bwhy did (?:you|u) (?:text|message|msg|contact) me\b|\bwhy did i get (?:this|these) (?:text|texts|message|messages|msg|msgs)\b|\bwhy do (?:you|u) (?:text|message|msg) me\b|\bwhy do (?:you|u) keep (?:texting|messaging|contacting)(?: me)?\b|\bi (?:dont|do not) know (?:you|u)\b|\bwho (?:is|are) (?:this|you|u)\b/gi"
"rule_fc89e4910657c938","autoQAMessages.json_array.under_13.rules.explicit_age_patterns.001.i_am_im_my_age_is_im_only_i_am_only_im_just_i_am_just_d_1_2","/\b(i am|im|my age is|im only|i am only|im just|i am just)\s*(\d{1\s+2})\b/gi"
"rule_caab2e50189ee965","autoQAMessages.json_array.under_13.rules.explicit_word_age_patterns.001.i_am_im_my_age_is_im_only_i_am_only_im_just_i_am_just_one_two_three_fo","/\b(i am|im|my age is|im only|i am only|im just|i am just)\s*(one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen)\b/gi"
"rule_87298d15feba98fa","autoQAMessages.json_array.under_13.rules.indirect_patterns.001.elementary_school","/elementary school/gi"
"rule_2b81f15d4afdbd0b","autoQAMessages.json_array.under_13.rules.indirect_patterns.006.first_grader","/first grader/gi"
"rule_db58d4f1407e1a87","autoQAMessages.json_array.under_13.rules.indirect_patterns.005.grade_1_6","/grade [1-6]/gi"
"rule_4d8a24e418c8ccc0","autoQAMessages.json_array.under_13.rules.indirect_patterns.003.grade_school","/grade school/gi"
